Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price,Year
January,Middle East & Africa,Footwear,Training,Pegasus,Premium,535,60141.8129576102,73.4688009789344,147.67389739097018,1990
February,Asia-Pacific,Footwear,Training,Jordan,Premium,590,146594.309173587,18.284473309667533,133.09035473581753,1990
March,Asia-Pacific,Accessories,Lifestyle,ZoomX,Mid,627,149940.0131642687,28.568717030382082,78.79699624296173,1990
April,Middle East & Africa,Footwear,Lifestyle,Air Max,Economy,510,119470.02107778708,59.377038243542145,194.29812551380397,1990
May,Asia-Pacific,Footwear,Basketball,React,Premium,357,43371.19197917198,43.94674104916568,127.83429434060434,1990
June,Latin America,Apparel,Lifestyle,Air Max,Mid,370,22856.540956641562,61.69996014883043,126.74077991274193,1990
July,North America,Accessories,Casual,Jordan,Mid,531,67173.40182693537,62.08676573129922,197.46223929391866,1990
August,Middle East & Africa,Footwear,Basketball,Pegasus,Mid,463,60605.139245314,12.65922599892881,93.3256175165361,1990
September,North America,Footwear,Casual,Jordan,Premium,665,120564.27557299202,50.762355730466226,97.37833865226611,1990
October,Europe,Footwear,Casual,ZoomX,Economy,438,76320.6146101007,45.283321780522144,98.06419105852106,1990
November,Asia-Pacific,Footwear,Basketball,Air Max,Premium,476,60652.315876716704,11.498092212789066,238.58999894400165,1990
December,Middle East & Africa,Footwear,Training,ZoomX,Economy,553,123358.41095759648,61.66891108526756,77.12155654826762,1990
January,Asia-Pacific,Footwear,Lifestyle,Air Max,Premium,491,80778.42776112977,13.40906306966641,171.95851545823126,1991
February,North America,Accessories,Running,Jordan,Premium,476,73387.49475617177,39.64234662237692,243.07659527176483,1991
March,Middle East & Africa,Footwear,Basketball,Air Max,Premium,370,67424.00087195789,60.758519673520944,203.8934549268928,1991
April,Asia-Pacific,Accessories,Casual,Jordan,Mid,516,39910.6212344908,64.20785686307539,61.8053421640846,1991
May,Middle East & Africa,Apparel,Running,Jordan,Economy,407,101578.93866698847,70.67107171975081,170.23099061804635,1991
June,North America,Apparel,Running,Jordan,Mid,641,147739.28231783424,33.656727648399425,51.843918842180535,1991
July,Middle East & Africa,Accessories,Lifestyle,ZoomX,Economy,392,85481.56308082362,86.92254564888012,92.47552583309466,1991
August,Asia-Pacific,Accessories,Training,Jordan,Mid,595,114877.0720058784,62.60655094426631,87.60343071071557,1991
September,Middle East & Africa,Apparel,Basketball,ZoomX,Premium,665,162499.63993840525,63.23441420618814,234.3882083972489,1991
October,Europe,Accessories,Lifestyle,React,Mid,459,40692.11502971053,70.1777537411501,212.12975951121612,1991
November,Middle East & Africa,Accessories,Lifestyle,React,Mid,398,42991.36850734483,61.49981533333586,108.94063532331319,1991
December,Asia-Pacific,Footwear,Lifestyle,Pegasus,Mid,480,108523.99040329958,28.841329486807112,102.79871690810188,1991
January,Asia-Pacific,Apparel,Training,Pegasus,Economy,348,27582.4423346694,37.10173555749595,58.32622482069105,1992
February,Middle East & Africa,Footwear,Casual,Air Max,Economy,418,73072.75751715322,39.953184448288454,76.66343125621017,1992
March,Middle East & Africa,Accessories,Casual,React,Economy,372,60658.30981497614,55.28121465075435,93.58955934055487,1992
April,Asia-Pacific,Footwear,Running,Jordan,Economy,379,63845.71783902549,71.46480329895384,246.0317551403876,1992
May,Middle East & Africa,Apparel,Training,Jordan,Mid,213,19710.01589648173,58.31902030658071,240.9123490696476,1992
June,Asia-Pacific,Accessories,Training,React,Mid,379,67798.23840235814,67.59702645523977,169.96682355231383,1992
July,Asia-Pacific,Accessories,Running,Jordan,Economy,347,81271.04630629408,54.19518086834387,166.00337707743012,1992
August,Middle East & Africa,Apparel,Running,ZoomX,Mid,939,47885.316038438265,54.48658109879706,122.77307766104025,1992
September,Europe,Apparel,Running,Jordan,Premium,838,149120.66965472512,63.68154419867415,127.51923891371509,1992
October,Latin America,Accessories,Lifestyle,Jordan,Economy,509,122242.47966116195,77.39333726305678,105.0216874779806,1992
November,Europe,Apparel,Lifestyle,ZoomX,Economy,508,119895.47757451852,80.77947078720177,150.39384412550663,1992
December,Asia-Pacific,Footwear,Training,Air Max,Mid,464,112642.2468106337,30.47749574973386,126.88984321927987,1992
January,Latin America,Footwear,Training,React,Economy,549,122347.36868540979,89.5689211273288,86.52228251522911,1993
February,Asia-Pacific,Accessories,Running,Pegasus,Premium,528,34206.83533202654,77.32761814403057,242.1748712042544,1993
March,Asia-Pacific,Apparel,Casual,React,Premium,580,39847.515706084836,54.260734972954396,189.10624970236648,1993
April,Europe,Accessories,Lifestyle,Jordan,Economy,539,112295.42307952199,75.280867345957,111.9100945998933,1993
May,Europe,Accessories,Lifestyle,Jordan,Premium,374,78019.36261578416,19.3023071107612,193.61130195640345,1993
June,North America,Accessories,Lifestyle,Pegasus,Economy,795,62387.18676181765,20.208734621159337,241.80804328944942,1993
